               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.046789,             0.10764,            0.012072,             0.83963,             0.48792,             0.55907,             0.32231,            0.052892,            0.085732,            0.012234,           0.0074755,           0.0074755,           0.0074755
                 104,             0.05015,             0.11061,            0.012003,             0.83228,             0.49976,             0.56082,             0.31237,            0.046526,            0.082413,            0.011877,           0.0074507,           0.0074507,           0.0074507
                 105,            0.047345,             0.10703,            0.012635,             0.79517,              0.4174,             0.47568,             0.24687,            0.054074,            0.088165,            0.011584,            0.007426,            0.007426,            0.007426
                 106,            0.048507,             0.10795,            0.011968,             0.85002,             0.46706,             0.55819,             0.32458,            0.046897,            0.084435,            0.011515,           0.0074013,           0.0074013,           0.0074013
                 107,            0.046017,             0.11658,            0.012162,             0.80424,             0.48094,             0.54865,               0.336,            0.051906,            0.084824,            0.011522,           0.0073765,           0.0073765,           0.0073765
                 108,            0.050509,             0.12384,            0.011899,             0.78168,             0.52102,              0.5472,             0.31212,             0.04756,            0.081478,            0.011374,           0.0073517,           0.0073517,           0.0073517
                 109,            0.045067,             0.10555,            0.011729,             0.75287,             0.51564,             0.52462,             0.27811,            0.049113,            0.087433,            0.012266,            0.007327,            0.007327,            0.007327
                 110,            0.047468,             0.09607,            0.011783,             0.84172,             0.48298,             0.57238,             0.33895,            0.045832,            0.082268,             0.01187,           0.0073023,           0.0073023,           0.0073023
                 111,            0.046822,             0.10396,            0.011563,             0.84383,             0.43968,             0.52859,             0.29918,            0.051912,            0.085381,            0.011675,           0.0072775,           0.0072775,           0.0072775
                 112,            0.048375,             0.10683,            0.012573,             0.84174,             0.49829,             0.57066,             0.33196,            0.045461,            0.082413,            0.011373,           0.0072527,           0.0072527,           0.0072527
                 113,            0.045995,             0.11749,            0.012191,             0.78624,             0.45813,             0.52969,             0.27161,            0.052563,            0.086426,            0.011284,            0.007228,            0.007228,            0.007228
                 114,            0.047726,             0.10129,            0.011665,             0.88669,             0.44991,             0.57714,             0.33206,            0.046445,            0.085045,            0.011351,           0.0072033,           0.0072033,           0.0072033
                 115,            0.046604,             0.11864,            0.012498,             0.82162,             0.51704,             0.58082,             0.33459,            0.049573,            0.085915,            0.011221,           0.0071785,           0.0071785,           0.0071785
                 116,             0.04816,             0.11532,            0.011173,             0.89655,             0.45846,             0.56691,             0.32898,            0.046732,            0.084389,            0.011072,           0.0071538,           0.0071538,           0.0071538
                 117,            0.044864,            0.098205,            0.012651,             0.78386,              0.4885,             0.54833,             0.29652,            0.052654,            0.086456,            0.011398,            0.007129,            0.007129,            0.007129
                 118,             0.04702,             0.10689,             0.01146,             0.85934,             0.49068,             0.58303,             0.35109,            0.045062,            0.083817,            0.011588,           0.0071042,           0.0071042,           0.0071042
                 119,            0.042691,             0.10175,            0.011034,             0.85577,             0.46608,             0.57351,             0.34172,            0.049057,            0.083145,            0.010971,           0.0070795,           0.0070795,           0.0070795
                 120,            0.047734,              0.1055,            0.011482,             0.88615,             0.46163,             0.56027,             0.32293,            0.047679,            0.083603,            0.010938,           0.0070547,           0.0070547,           0.0070547
